student_code,age,bac_level,subject,eval_type,mark
cf1ca85b93eed23666f9c7e81a6bf5557ca7a3210f3564f358aa94a0561b9256,16.75,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,4.5
3380131873b9102da00c6532cb002519aeb52670e376a4a109c5982e57e0f627,17.25,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,14.0
3380131873b9102da00c6532cb002519aeb52670e376a4a109c5982e57e0f627,17.25,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,13.5
3380131873b9102da00c6532cb002519aeb52670e376a4a109c5982e57e0f627,17.25,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,6.25
3380131873b9102da00c6532cb002519aeb52670e376a4a109c5982e57e0f627,17.25,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,7.75
3380131873b9102da00c6532cb002519aeb52670e376a4a109c5982e57e0f627,17.25,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,8.5
5211d6062db17ab460e1d99be4635bd1265dd9eaabf2bcb5c8f81fda03cb22c3,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,19.0
5211d6062db17ab460e1d99be4635bd1265dd9eaabf2bcb5c8f81fda03cb22c3,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,17.0
5211d6062db17ab460e1d99be4635bd1265dd9eaabf2bcb5c8f81fda03cb22c3,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,13.0
5211d6062db17ab460e1d99be4635bd1265dd9eaabf2bcb5c8f81fda03cb22c3,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,17.5
5211d6062db17ab460e1d99be4635bd1265dd9eaabf2bcb5c8f81fda03cb22c3,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,15.0
346488aa7091befa4cf47f74aff4bf83ea31b9350b8639ce06082c647d19ef94,17.916666666666668,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,12.0
346488aa7091befa4cf47f74aff4bf83ea31b9350b8639ce06082c647d19ef94,17.916666666666668,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,8.5
346488aa7091befa4cf47f74aff4bf83ea31b9350b8639ce06082c647d19ef94,17.916666666666668,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,6.0
346488aa7091befa4cf47f74aff4bf83ea31b9350b8639ce06082c647d19ef94,17.916666666666668,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,9.5
346488aa7091befa4cf47f74aff4bf83ea31b9350b8639ce06082c647d19ef94,17.916666666666668,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,4.5
1de77fb0a4307b2bd0a6b62e4dcd37df04544a97e001b455dd846d30db1b535c,18.666666666666668,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,19.25
1de77fb0a4307b2bd0a6b62e4dcd37df04544a97e001b455dd846d30db1b535c,18.666666666666668,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,13.25
1de77fb0a4307b2bd0a6b62e4dcd37df04544a97e001b455dd846d30db1b535c,18.666666666666668,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,17.5
1de77fb0a4307b2bd0a6b62e4dcd37df04544a97e001b455dd846d30db1b535c,18.666666666666668,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,10.25
1de77fb0a4307b2bd0a6b62e4dcd37df04544a97e001b455dd846d30db1b535c,18.666666666666668,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,2.5
bd5775bac9d596a9d1c7e5568fa840452cc42b35bf974113058df0275933ad9b,17.416666666666668,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,12.5
bd5775bac9d596a9d1c7e5568fa840452cc42b35bf974113058df0275933ad9b,17.416666666666668,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
bd5775bac9d596a9d1c7e5568fa840452cc42b35bf974113058df0275933ad9b,17.416666666666668,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,8.0
bd5775bac9d596a9d1c7e5568fa840452cc42b35bf974113058df0275933ad9b,17.416666666666668,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
bd5775bac9d596a9d1c7e5568fa840452cc42b35bf974113058df0275933ad9b,17.416666666666668,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
ed288aaa3707a90a6de5acaf7ff8d59d17d7d3eab2ec22d2f002cb4584fe29a0,17.666666666666668,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,14.0
ed288aaa3707a90a6de5acaf7ff8d59d17d7d3eab2ec22d2f002cb4584fe29a0,17.666666666666668,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
ed288aaa3707a90a6de5acaf7ff8d59d17d7d3eab2ec22d2f002cb4584fe29a0,17.666666666666668,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,9.0
ed288aaa3707a90a6de5acaf7ff8d59d17d7d3eab2ec22d2f002cb4584fe29a0,17.666666666666668,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
ed288aaa3707a90a6de5acaf7ff8d59d17d7d3eab2ec22d2f002cb4584fe29a0,17.666666666666668,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
bedafd43bcbfee1f959d68b91c0575b21c8f61d7833c815b9186c138d464862f,18.0,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,8.0
bedafd43bcbfee1f959d68b91c0575b21c8f61d7833c815b9186c138d464862f,18.0,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
bedafd43bcbfee1f959d68b91c0575b21c8f61d7833c815b9186c138d464862f,18.0,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,8.75
bedafd43bcbfee1f959d68b91c0575b21c8f61d7833c815b9186c138d464862f,18.0,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
bedafd43bcbfee1f959d68b91c0575b21c8f61d7833c815b9186c138d464862f,18.0,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
f5faf1f52ba7a61bdb46fd6b722cd8913002de6f415a7990b170fd6b5f644568,17.75,2ème Année Bac Sciences Economiques,LANGUE ANGLAISE,National,13.37
f5faf1f52ba7a61bdb46fd6b722cd8913002de6f415a7990b170fd6b5f644568,17.75,2ème Année Bac Sciences Economiques,HISTOIRE GEOGRAPHIE,National,
f5faf1f52ba7a61bdb46fd6b722cd8913002de6f415a7990b170fd6b5f644568,17.75,2ème Année Bac Sciences Economiques,MATHEMATIQUES,National,15.25
